#blinkered/attestations/2 language=ms words=7921 sources=10 built=2026-09-23 digest=92c180e3c09e1410
#tokens ebible:zlmKSZI=152053 ia=0 lz:msa_news_2019_100K=88062 lz:msa_newscrawl_2011_100K=143099 lz:msa_newscrawl_2016_300K=443046 lz:msa-my_web_2013_1M=3129321 tat=51517 web:kosmo.com.my=24620 web:utusan.com.my=61982 wiki:ms=97505005 wikisource:ms=191932
YANG	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	6056,2530,3991,14014,101877,1220,390,755,1691916,8460	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT02 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/02/14/zaman-najib-pun-ada-majlis-tindakan-ekonomi-kata-rafidah/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/11/07/malaysia-tahan-bekas-menteri-kemboja-mu-sochua/ lz:msa_newscrawl_2011_100K:http://www.mmail.com.my/content/50891-royal-touch-national-flower.html lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index8e1b.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/nasional/peniaga-simpan-stok-minyak-masak-di-stor-tidak-berdaftar-1.406048 lz:msa_newscrawl_2016_300K:http://www.bharian.com.my/epl?page=63 lz:msa-my_web_2013_1M:http://www.informasi.my/search/cermin-mata-terbaru/ lz:msa-my_web_2013_1M:http://mynewshub.my/2013/10/19/anggota-pussy-riot-sambung-mogok-lapar/ tat:342102 tat:342157 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/langgan/ web:utusan.com.my:https://www.utusan.com.my/ wiki:ms:15 wiki:ms:18 wikisource:ms:8 wikisource:ms:9
DAN	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	4411,2180,3568,12549,90689,447,481,942,1847762,6148	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT02 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/02/14/zaman-najib-pun-ada-majlis-tindakan-ekonomi-kata-rafidah/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/11/07/malaysia-tahan-bekas-menteri-kemboja-mu-sochua/ lz:msa_newscrawl_2011_100K:http://www.mmail.com.my/content/50891-royal-touch-national-flower.html lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index8e1b.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/nasional/i-tutor-i-bantu-sekolah-raih-5a-dalam-upsr-1.58953 lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/wilayah/melaka/rm500-000-8232-bantuan-pemulihan-1.169326 lz:msa-my_web_2013_1M:http://www.murahnya.my/tags/Lain-lain/Serunding lz:msa-my_web_2013_1M:http://www.expedia.com.my/Flights-To-Tuckers-Town.d11667.Travel-Guide-Flights tat:342048 tat:635197 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/akaun/ web:utusan.com.my:https://www.utusan.com.my/langgan/ wiki:ms:15 wiki:ms:18 wikisource:ms:8 wikisource:ms:9
ITU	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	3145,1247,1758,3781,24033,750,176,262,235987,2559	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT02 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/02/14/zaman-najib-pun-ada-majlis-tindakan-ekonomi-kata-rafidah/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/04/06/statut-rom-pembangkang-gesa-tindakan-tegas-terhadap-menteri-luar-peguam-negara/ lz:msa_newscrawl_2011_100K:http://www.mmail.com.my/content/50891-royal-touch-national-flower.html lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index9cdc.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/nasional/rusia-as-hampir-setuju-kurangkan-senjata-nuklear-1.238126 lz:msa_newscrawl_2016_300K:http://www.bharian.com.my/node/15380/amp lz:msa-my_web_2013_1M:http://www.olx.com.my/q/solehah/c-217 lz:msa-my_web_2013_1M:http://mynewshub.my/2012/08/13/pm-rombongan-tunai-umrah/ tat:342097 tat:342100 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/ web:utusan.com.my:https://www.utusan.com.my/nasional/ wiki:ms:15 wiki:ms:26 wikisource:ms:9 wikisource:ms:10
TIDAK	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	1995,957,1281,3484,21731,1205,197,311,213057,1702	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT02 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/11/13/suami-dituduh-lacurkan-isteri-isteri-pula-didakwa-melacur-diri/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/05/08/55-maut-lori-minyak-meletup-di-nigeria/ lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index5524.html lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index10e9-2.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/sukan/bolt-sekali-lagi-juara-200m-1.372270 lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/gaya-hidup/fesyen/krim-wajah-dengan-empat-ramuan-rahsia-1.346674 lz:msa-my_web_2013_1M:http://www.myjurnal.my/public/article-view.php?id=73233 lz:msa-my_web_2013_1M:http://klcityplan2020.dbkl.gov.my/sme/?page_id=689 tat:342076 tat:342077 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/ web:utusan.com.my:https://www.utusan.com.my/terkini/ wiki:ms:15 wiki:ms:18 wikisource:ms:8 wikisource:ms:9
INI	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	1009,865,1589,4541,38866,693,193,261,553617,1853	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT03 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/10/31/shawn-mendes-sahkan-mula-bercinta-dengan-camila-cabello-4-julai/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/09/19/pakar-pbb-siasat-serangan-dron-ke-atas-loji-minyak-arab-saudi/ lz:msa_newscrawl_2011_100K:http://www.mmail.com.my/content/20654-and-out-driving-me-dizzy.html lz:msa_newscrawl_2011_100K:http://www.utusan.com.my/utusan/SpecialCoverage/aidilfitri2001/indexdc1e.html lz:msa_newscrawl_2016_300K:http://www.pelitabrunei.gov.bn/iklan/tawaran/item/26157-edisi-isnin-18-april-2016--iklan-tawaran-dalam-institut-tahfiz-al-quran-sultan-haji-hassanal-bolkiah lz:msa_newscrawl_2016_300K:http://www.bharian.com.my/node/178296/amp lz:msa-my_web_2013_1M:http://mynewshub.my/2013/10/19/anggota-pussy-riot-sambung-mogok-lapar/ lz:msa-my_web_2013_1M:http://rios.lgm.gov.my/cms/journalChildDetails.jsp?childKey=vital1%5C:32314=Siaran%20Perkebun tat:342092 tat:342102 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/langgan/ web:utusan.com.my:https://www.utusan.com.my/ wiki:ms:15 wiki:ms:18 wikisource:ms:8 wikisource:ms:9
DALAM	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	1298,804,1355,4576,36534,278,201,385,739373,2687	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT02 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/10/31/shawn-mendes-sahkan-mula-bercinta-dengan-camila-cabello-4-julai/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/06/13/ppbm-perlu-tambah-ahli-untuk-kejayaan-masa-depan-kata-dr-mahathir/ lz:msa_newscrawl_2011_100K:http://www.utusan.com.my/utusan/SpecialCoverage/aidilfitri2001/indexdc1e.html lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index00e7.html lz:msa_newscrawl_2016_300K:http://www.bharian.com.my/node/221380/amp lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/nahas-bencana/banjir-semua-pusat-pemindahan-ditutup-1.385937 lz:msa-my_web_2013_1M:http://dspace.psnz.umt.edu.my/xmlui/browse?order=ASC=20=1=-1=1780=title lz:msa-my_web_2013_1M:http://www.pl.gov.my/ms/home?p_p_id=8=0=normal=view=column-10=1=8=24=2017 tat:342107 tat:342157 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/juruterbang-airasia-maut-ke-tempat-kerja/ web:utusan.com.my:https://www.utusan.com.my/ web:utusan.com.my:https://www.utusan.com.my/terkini/ wiki:ms:15 wiki:ms:18 wikisource:ms:8 wikisource:ms:9
DENGAN	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	1681,725,1243,4198,33025,442,121,338,586167,2382	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT02 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/04/17/shaheizy-sam-syatilla-melvin-dapat-anak-perempuan/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/10/31/shawn-mendes-sahkan-mula-bercinta-dengan-camila-cabello-4-julai/ lz:msa_newscrawl_2011_100K:http://www.utusan.com.my/utusan/SpecialCoverage/UMNO2001/index9708.html lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index00e7.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/nasional/i-tutor-i-bantu-sekolah-raih-5a-dalam-upsr-1.58953 lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/sukan/natasha-mahu-jadi-pendidik-1.109846 lz:msa-my_web_2013_1M:http://mynewshub.my/2013/08/26/tempah-maut-berenang-dalam-sungai-buaya/ lz:msa-my_web_2013_1M:http://www.maklumat.my/video-apabila-mat-arab-menari-lagu-gangnam-style tat:342048 tat:720012 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/ web:utusan.com.my:https://www.utusan.com.my/terkini/ wiki:ms:15 wiki:ms:18 wikisource:ms:8 wikisource:ms:9
UNTUK	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	1065,943,1446,3672,32157,599,165,312,512438,1294	ebible:zlmKSZI:MAT02 ebible:zlmKSZI:MAT03 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/11/07/malaysia-tahan-bekas-menteri-kemboja-mu-sochua/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/04/06/statut-rom-pembangkang-gesa-tindakan-tegas-terhadap-menteri-luar-peguam-negara/ lz:msa_newscrawl_2011_100K:http://www.theborneopost.com/index8e1b.html lz:msa_newscrawl_2011_100K:http://www.mmail.com.my/content/47644-poor-display-jalur-gemilang-want-sponsorship.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/wilayah/johor/pindah-kaunter-beri-keselesaan-1.235851 lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/politik/berebut-kerusi-ppbm-pan-tidak-boleh-bertanding-di-selangor-1.420685 lz:msa-my_web_2013_1M:http://mynewshub.my/2013/10/19/anggota-pussy-riot-sambung-mogok-lapar/ lz:msa-my_web_2013_1M:http://mynewshub.my/2013/08/26/tempah-maut-berenang-dalam-sungai-buaya/ tat:661214 tat:661226 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/langgan/ web:utusan.com.my:https://www.utusan.com.my/category/nasional/tragedi/ wiki:ms:15 wiki:ms:18 wikisource:ms:9 wikisource:ms:10
SAYA	lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	275,546,1079,8261,2832,498,123,12483,283	lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/11/13/suami-dituduh-lacurkan-isteri-isteri-pula-didakwa-melacur-diri/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/02/16/penyokong-bn-meninggal-dunia-ketika-penamaan-calon/ lz:msa_newscrawl_2011_100K:http://www.mmail.com.my/content/20654-and-out-driving-me-dizzy.html lz:msa_newscrawl_2011_100K:http://www.utusan.com.my/utusan/info0458.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/nasional/i-tutor-i-bantu-sekolah-raih-5a-dalam-upsr-1.58953 lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/wilayah/melaka/rm500-000-8232-bantuan-pemulihan-1.169326 lz:msa-my_web_2013_1M:http://wootmedia.my/kenali-jenis-jenis-sihir-yang-ada/ lz:msa-my_web_2013_1M:http://bentong.olx.com.my/indah-siberian-husky-untuk-dipertimbangkan-iid-98287631 tat:341946 tat:342076 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/warung-tepi-sawah-saji-makanan-rm1/ web:utusan.com.my:https://www.utusan.com.my/ web:utusan.com.my:https://www.utusan.com.my/terkini/ wiki:ms:15 wiki:ms:29 wikisource:ms:14 wikisource:ms:18
AKAN	ebible:zlmKSZI,lz:msa_news_2019_100K,lz:msa_newscrawl_2011_100K,lz:msa_newscrawl_2016_300K,lz:msa-my_web_2013_1M,tat,web:kosmo.com.my,web:utusan.com.my,wiki:ms,wikisource:ms	1958,596,935,2491,18099,594,71,101,104487,1052	ebible:zlmKSZI:MAT01 ebible:zlmKSZI:MAT02 lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/04/24/3-lagi-direman-dalam-kes-lindungi-pemandu-lori/ lz:msa_news_2019_100K:https://www.freemalaysiatoday.com/category/bahasa/2019/05/08/55-maut-lori-minyak-meletup-di-nigeria/ lz:msa_newscrawl_2011_100K:http://www.mmail.com.my/content/20654-and-out-driving-me-dizzy.html lz:msa_newscrawl_2011_100K:http://www.utusan.com.my/utusan/SpecialCoverage/aidilfitri2001/indexdc1e.html lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/berita/politik/berebut-kerusi-ppbm-pan-tidak-boleh-bertanding-di-selangor-1.420685 lz:msa_newscrawl_2016_300K:http://www.utusan.com.my/sukan/amelia-ungguli-larian-ambank-1.57487 lz:msa-my_web_2013_1M:http://mynewshub.my/2013/10/19/anggota-pussy-riot-sambung-mogok-lapar/ lz:msa-my_web_2013_1M:http://cinemamalaysia.com.my/article/section/Newspaper-Clippings_6/?category=28===40 tat:342092 tat:342095 web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/hari-jumaat-diumum-hari-jawi/ web:kosmo.com.my:https://www.kosmo.com.my/2020/07/15/gagal-pamer-tanda-harga-tiga-peniaga-dikompaun/ web:utusan.com.my:https://www.utusan.com.my/langgan/ web:utusan.com.my:https://www.utusan.com.my/ wiki:ms:15 wiki:ms:18 wikisource:ms:8 wikisource:ms:9
